gid,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,truncated_by_depth,pass_through,pagerank,hub_score,authority_score,seed_sources,quick_turnover,quick_turnover_share,cluster_id,contribution_in_deg,contribution_out_deg,contribution_authority_score,contribution_hub_score,contribution_pagerank,contribution_seed_sources,priority_factor,priority_score
100000000011452100,1,False,3,1,110000.0,16685.0,7,2,False,0.1516818181818182,0.0004872451627398469,2.0831984606780044e-05,0.0006895392019208098,7,16685.0,1.0,0,0.1683896797153025,0.13716192170818506,0.1830960854092527,0.1501779359430605,0.12313167259786477,0.06515124555160143,1.0,0.827108540925267
100000000018102100,4,False,1,0,7000.0,0.0,1,0,True,0.0,0.0003186367280153834,0.0,9.414607410936295e-92,7,0.0,0.0,0,0.0737855871886121,0.06217526690391458,0.01939501779359431,0.05526690391459074,0.08704626334519575,0.06515124555160143,0.75,0.2721152135231317
100000000031787100,2,False,1,2,90000.0,90000.0,2,4,False,1.0,0.0004288721335956581,1.25552259033216e-06,2.7323018045364316e-67,1,40000.0,0.4444444444444444,1,0.0737855871886121,0.1554581850533808,0.039679715302491106,0.14512455516014236,0.11693950177935944,0.01766903914590747,1.0,0.5486565836298932
100000000041368100,1,False,1,0,160000.0,0.0,1,0,False,0.0,0.0003158158378313122,0.0,0.0008266752540013821,10,0.0,0.0,2,0.0737855871886121,0.06217526690391458,0.18576512455516014,0.05526690391459074,0.08412811387900357,0.11530249110320284,1.0,0.576423487544484
100000000076451100,2,False,3,4,87707.0,58000.0,4,4,False,0.661292713238396,0.0013836360121798174,9.789394300499958e-91,2.22711131083175e-06,7,5000.0,0.08620689655172414,3,0.1683896797153025,0.16814946619217083,0.13024911032028472,0.12185053380782919,0.15516014234875447,0.06515124555160143,1.0,0.8089501779359431
100000000089154100,1,False,1,15,10000.0,425500.0,1,21,False,42.55,0.00028589916651611697,0.0003361339161161709,0.00020122539980115464,7,10000.0,0.023501762632197415,0,0.0737855871886121,0.1766770462633452,0.16565836298932388,0.15551601423487546,0.009750889679715302,0.06515124555160143,1.0,0.6465391459074734
100000000190228100,2,False,1,1,5000.0,28560.0,1,1,False,5.712,0.0005785577642821221,3.388308505080475e-101,8.532445701341959e-126,8,0.0,0.0,4,0.0737855871886121,0.13716192170818506,0.004314946619217082,0.11807829181494663,0.1398576512455516,0.10059608540925268,1.0,0.5737944839857652
100000000201868100,2,False,1,1,190000.0,190000.0,1,1,False,1.0,0.0009675202955946184,2.4760980524739826e-05,7.761745627251458e-68,7,190000.0,1.0,5,0.0737855871886121,0.13716192170818506,0.037811387900355875,0.1503914590747331,0.1519572953736655,0.06515124555160143,1.0,0.6162588967971531
100000000254336100,3,False,2,1,97177.0,60000.0,2,1,False,0.6174300503205491,0.00029035716311077856,3.0998919294146865e-90,0.0012204489688146807,7,60000.0,1.0,0,0.15409697508896797,0.13716192170818506,0.1878113879003559,0.12220640569395018,0.03637010676156583,0.06515124555160143,1.0,0.7027980427046263
100000000267734100,1,False,2,7,180000.0,282000.0,4,8,False,1.5666666666666667,0.0005339010095272862,2.6921296145035798e-67,4.904495906232741e-06,1,40000.0,0.14184397163120568,1,0.15409697508896797,0.17327402135231318,0.13754448398576513,0.13117437722419928,0.1316725978647687,0.01766903914590747,1.0,0.7454314946619217
